campaign_name,adset_name,date,spend,impressions,clicks,ctr,purchases,revenue,roas,creative_type,creative_message,audience_type,platform,country
Men ComfortMax Launch,Adset-1 Retarget,2025-03-24,502.81,187613,1706.0,0.0091,68,1505.55,2.99,Image,"Push comfort, not wires — everyday men athletic briefs.",Retargeting,Instagram,IN
Men  ComfortMax  Launch,Adset-1 Retarget,2025-03-25,92.96,485516,12328.0,0.0254,321,11907.64,128.09,Image,Cooling mesh panels for workouts — men athletic briefs you’ll actually love.,Broad,Instagram,US
Men Comfortmax Launch,Adset-1 Retarget,2025-03-26,950.89,227458,3917.0,0.0172,98,2956.92,3.11,UGC,Summer‑ready essentials — sweat‑wicking men inner vests.,Lookalike,Instagram,US
Men ComfortMax Launch,Adset-1 Retarget,2025-03-27,64.47,182280,1848.0,0.0101,35,1137.84,17.65,Video,"Wire‑free ease, cloud‑soft cups — men boxers that fits right.",Broad,Facebook,US
Men_ComfortMax_Launch,Adset-1 Retarget,2025-03-28,377.92,386650,3818.0,0.0099,85,1853.27,4.9,Image,"Wire‑free ease, cloud‑soft cups — men boxers that fits right.",Broad,Instagram,IN
Men ComfortMax Launch,Adset-1 Retarget,2025-03-29,672.3,306938,3378.0,0.011,76,1543.14,2.3,UGC,Cooling mesh panels for workouts — men inner vests you’ll actually love.,Broad,Instagram,UK
MEN COMFORTMAX LAUNCH,Adset-1 Retarget,2025-03-30,751.5,46074,645.0,0.014,18,423.7,0.56,Carousel,Invisible under tees — seamless men trunks.,Broad,Instagram,US
men comfortmax launch,Adset-1 Retarget,2025-03-31,965.64,242270,3463.0,0.0143,38,1095.18,1.13,Carousel,Seamless confidence for every day — new men inner vests.,Broad,Facebook,US
Men ComfortMax Launch,Adset-2 LAL2,2025-01-01,175.78,449787,7247.0,0.0161,185,6546.78,37.24,Image,Seamless confidence for every day — new men inner vests.,Broad,Instagram,US
Men ComfortMax Launch,Adset-2 LAL2,2025-01-02,501.55,346733,5649.0,0.0163,153,2835.42,5.65,Image,Stretch that snaps back — durable men athletic briefs.,Lookalike,Facebook,UK
Men ComfortMax L unch,Adset-2 LAL2,2025-01-03,793.98,343595,5307.0,0.0154,117,4387.64,5.53,Image,Stretch that snaps back — durable men briefs.,Broad,Instagram,US
Men  ComfortMax  Launch,Adset-2 LAL2,2025-01-04,563.98,116132,1904.0,0.0164,50,917.55,1.63,Image,Hot & comfy: men briefs now 20% off — feel the difference.,Broad,Facebook,IN
Men Comfortmax Launch,Adset-2 LAL2,2025-01-05,,25478,423.0,0.0166,7,205.65,1.54,Carousel,"Push comfort, not wires — everyday men inner vests.",Broad,Facebook,IN
Men ComfortMax Launch,Adset-2 LAL2,2025-01-06,877.96,329067,4573.0,0.0139,0,1608.94,1.83,UGC,Doctors recommend breathable bamboo — meet our men athletic briefs.,Broad,Instagram,US
MEN COMFORTMAX LAUNCH,Adset-2 LAL2,2025-01-07,622.65,83177,1288.0,0.0155,37,1559.66,2.5,Image,No ride‑up guarantee — best‑selling men briefs back in stock.,Broad,Facebook,IN
Men Comfortmax Launch,Adset-2 LAL2,2025-01-08,379.6,287150,6382.0,0.0222,110,2393.89,6.31,Video,"All‑day comfort, zero pinch — try our men athletic briefs!",Broad,Facebook,US
Men Comfortmax Launch,Adset-2 LAL2,2025-01-09,770.28,99213,1000.0,0.0101,26,925.3,1.2,Video,"Push comfort, not wires — everyday men boxers.",Lookalike,Instagram,UK
